"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"AQQ","American Spectrum Realty, Inc.","1.68","6262872","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/aqq",
"AMPE","Ampio Pharmaceuticals, Inc.","7.23","375353923.56","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ampe",
"AXN","Aoxing Pharmaceutical Company, Inc.","0.3434","17127013.8748","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/axn",
"AMCO","Armco Metals Holdings, Inc.","0.343","18089703.723","n/a","n/a","Consumer Durables","Steel/Iron Ore","http://www.nasdaq.com/symbol/amco",
"HRT","Arrhythmia Research Technology Inc.","6.75","18375113.25","n/a","n/a","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/hrt",
"AKG","Asanko Gold Inc.","2.09","359933022.13","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/akg",
"ATL","Atlatsa Resources Corporation","0.468","259407005.364","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/atl",
"AZC","Augusta Resource Corporation","2.69","391278299.73","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/azc",
"AWX","Avalon Holdings Corporation","4.79","18217955.49","n/a","n/a","Public Utilities","Environmental Services","http://www.nasdaq.com/symbol/awx",
"AVL","Avalon Rare Metals, Inc.","0.4879","55136088.4655","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/avl",
"ASM","Avino Silver","1.88","60614508.8","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/asm",
"BTG","B2Gold Corp","2.6","1757543330.4","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/btg",
"BONE","Bacterin International Holdings, Inc.","0.7725","42468632.46","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/bone",
"BTN","Ballantyne Strong, Inc","4.15","58678767.3","n/a","n/a","Miscellaneous","Industrial Machinery/Components","http://www.nasdaq.com/symbol/btn",
"BKJ","Bancorp of New Jersey, Inc","13.25","70801163","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bkj",
"BCV","Bancroft Fund Limited","19.96","106579992.84","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bcv",
"BAA","BANRO CORPORATION","0.452","113949503.744","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/baa",
"BHB","Bar Harbor Bankshares, Inc.","25.77","152466529.95","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/bhb",
"BRN","Barnwell Industries, Inc.","3.22","26652455.2","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/brn",
"BXE","Bellatrix Exploration Ltd","8.82","1686018508.02","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/bxe",
"BIR^A","Berkshire Income Realty, Inc.","28.01","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bir^a",
"BTX","BioTime, Inc.","2.87","207068574.23","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/btx",
"BGI","Birks Group Inc.","1.197","21355159.896","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/bgi",
"BQY","BlackRock Dividend Income Trust","13.2255","79789811.814","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/bqy",
"BZM","BlackRock Maryland Municipal Bond Trust","13.8","28625864.4","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bzm",
"MHE","BlackRock Massachusetts Tax-Exempt Trust","14.4","34018344","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/mhe",
"BLE","BlackRock Municipal Income Trust II","14.72","345069022.08","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/ble",
"BLJ","Blackrock New Jersey Municipal Bond Trust","14.9488","34754719.2496","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/blj",
"BFY","BlackRock New York Municipal Income Trust II","13.93","69634830.23","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bfy",
"BPS","BlackRock Pennsylvania Strategic Municipal Trust (The)","12.83","26072035.45","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/bps",
"BHV","BlackRock Virginia Municipal Bond Trust","16.574","26290457.778","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/bhv",
"BDR","Blonder Tongue Laboratories, Inc.","0.93","5781225.96","n/a","n/a","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/bdr",
"BRG","Bluerock Residential Growth REIT, Inc.","14.25","79182020.25","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/brg",
"BVX","Bovie Medical Corporation","4.1599","74512332.6351","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/bvx",
"BWL/A","Bowl America, Inc.","14.2","0","n/a","n/a","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/bwl/a",
"BZC","Breeze-Eastern Corporation","12.78","124015548.06","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/bzc",
"BTI","British American Tobacco p.l.c.","119.51","111835623162.97","n/a","n/a","Consumer Non-Durables","Farming/Seeds/Milling","http://www.nasdaq.com/symbol/bti",
"CAK","CAMAC Energy Inc.","0.8","1007875432.8","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cak",
"CANF","Can-Fite Biopharma Ltd","3.85","30227747.55","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/canf",
"ROX","Castle Brands, Inc.","0.88","132115793.92","n/a","2006","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/rox",
"CAW","CCA Industries, Inc.","3.232","22645602.688","n/a","n/a","Consumer Non-Durables","Package Goods/Cosmetics","http://www.nasdaq.com/symbol/caw",
"CVM","Cel-Sci Corporation","1.08","71248447.8","n/a","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/cvm",
"CVM/WS","Cel-Sci Corporation","0.23","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cvm/ws",
"CEF","Central Fund of Canada Limited","13.84","3521348747.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cef",
"GTU","Central Gold Trust","45.54","878876460","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gtu",
"CET","Central Securities Corporation","22.98","554147142.54","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cet",
"CCF","Chase Corporation","31.95","290807494.2","n/a","n/a","Consumer Durables","Building Products","http://www.nasdaq.com/symbol/ccf",
"CQH","Cheniere Energy Partners LP Holdings, LLC","25.15","5827255000","n/a","2013","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqh",
"CQP","Cheniere Energy Partners, LP","32.13","10853385897.69","n/a","2007","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/cqp",
"LNG","Cheniere Energy, Inc.","66.29","15770373101.7","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/lng",
"CVR","Chicago Rivet & Machine Co.","34.905","33722837.46","n/a","n/a","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cvr",
"CNR","China Metro-Rural Holdings Limited","0.89","65453965.98","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cnr",
"CPHI","China Pharma Holdings, Inc.","0.406","17693300.142","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/cphi",
"CKX","CKX Lands, Inc.","15.48","30069822.6","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/ckx",
"GLV","Clough Global Allocation Fund","15.54","162153777.24","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/glv",
"GLQ","Clough Global Equity Fund","15.38","274390042.9","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/glq",
"GLO","Clough Global Opportunities Fund","12.87","665853375.33","n/a","2006","n/a","n/a","http://www.nasdaq.com/symbol/glo",
"CRV","Coast Distribution System, Inc. (The)","3.18","16903620.72","n/a","n/a","Capital Goods","Automotive Aftermarket","http://www.nasdaq.com/symbol/crv",
"MOC","Command Security Corporation","1.76","16366171.36","n/a","n/a","Consumer Services","Diversified Commercial Services","http://www.nasdaq.com/symbol/moc",
"CIX","CompX International Inc.","10.26","127194317.82","n/a","1998","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/cix",
"LODE","Comstock Mining, Inc.","1.67","136395097.37","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/lode",
"CTO","Consolidated-Tomoka Land Co.","47.05","276713235.95","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/cto",
"CEP","Constellation Energy Partners, LLC","2.41","69486158.71","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/cep",
"MCF","Contango Oil & Gas Company","41.75","808505992.75","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/mcf",
"CUO","Continental Materials Corporation","17.22","28415875.74","n/a","n/a","Capital Goods","Building Materials","http://www.nasdaq.com/symbol/cuo",
"CMT","Core Molding Technologies Inc","12.15","92297001.15","n/a","n/a","Consumer Non-Durables","Plastic Products","http://www.nasdaq.com/symbol/cmt",
"CRMD","CorMedix Inc","1.54","33869811.36","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/crmd",
"CRMD/WS","CorMedix Inc","0.23","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crmd/ws",
"CFP","Cornerstone Progressive Return Fund","4.68","183723335.64","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cfp",
"CRF","Cornerstone Strategic Return Fund, Inc. (The)","5.651","98358627.426","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/crf",
"CLM","Cornerstone Strategic Value Fund, Inc.","6.13","195434152.83","n/a","1987","n/a","n/a","http://www.nasdaq.com/symbol/clm",
"COVR","Cover-All Technologies Inc.","1.3","34630020.1","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/covr",
"CVU","CPI Aerostructures, Inc.","12.91","109228734.35","n/a","n/a","Capital Goods","Military/Government/Technical","http://www.nasdaq.com/symbol/cvu",
"CIK","Credit Suisse Asset Management Income Fund, Inc.","3.59","187542867.27","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/cik",
"DHY","Credit Suisse High Yield Bond Fund","3.24","316763547.48","n/a","1998","n/a","n/a","http://www.nasdaq.com/symbol/dhy",
"EXE","Crexendo, Inc.","3.15","35159427.45","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/exe",
"CRVP","Crystal Rock Holdings, Inc.","0.8699","18581421.5289","n/a","n/a","Consumer Non-Durables","Food Distributors","http://www.nasdaq.com/symbol/crvp",
"CTP","CTPartners Executive Search Inc.","9.65","69274792.75","n/a","2010","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/ctp",
"DXR","Daxor Corporation","7.16","29150708.48","n/a","n/a","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/dxr",
"DEJ","Dejour Energy Inc.","0.216","35486666.784","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/dej",
"VCF","Delaware Investments Colorado Municipal Income Fund, Inc","13.56","65591076","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/vcf",
"VFL","Delaware Investments Florida Insured Municipal Income Fund","12.9399","58597599.5757","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/vfl",
"VMM","Delaware Investments Minnesota Municipal Income Fund II, Inc.","14.07","161874998.25","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/vmm",
"DLA","Delta Apparel, Inc.","14.56","115551508.8","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/dla",
"DNN","Denison Mine Corp","1.23","596898541.41","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/dnn",
"DGSE","DGSE Companies, Inc.","1.77","21600343.68","n/a","n/a","Consumer Services","Consumer Specialties","http://www.nasdaq.com/symbol/dgse",
"DPW","Digital Power Corporation","1.11","7591121.28","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/dpw",
"DSS","Document Security Systems, Inc.","1.45","71780733.3","n/a","n/a","Technology","EDP Services","http://www.nasdaq.com/symbol/dss",
"DMF","Dreyfus Municipal Income, Inc.","9.3","192647175","n/a","1988","n/a","n/a","http://www.nasdaq.com/symbol/dmf",
"GRF","Eagle Capital Growth Fund, Inc.","8","25000992","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/grf",
"ESTE","Earthstone Energy, Inc.","29.99","51856398.77","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/este",
"EVM","Eaton Vance California Municipal Bond Fund","11.59","248010770.74","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/evm",
"EIA","Eaton Vance California Municipal Bond Fund II","12.05","46817021.5","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eia",
"CEV","Eaton Vance California Municipal Income Trust","12.28","89166001","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/cev",
"EVV","Eaton Vance Limited Duration Income Fund","15.62","1836084421.16","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/evv",
"MAB","Eaton Vance Massachusetts Municipal Bond Fund","14.21","25130583.94","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/mab",
"MMV","Eaton Vance Massachusetts Municipal Income Trust","13.41","321483280.59","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/mmv",
"MIW","Eaton Vance Michigan Municipal Bond Fund","13.0101","19698137.0565","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/miw",
"EMI","Eaton Vance Michigan Municipal Income Trust","12.36","26157393.84","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/emi",
"EIM","Eaton Vance Municipal Bond Fund","12.33","840514522.5","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eim",
"EIV","Eaton Vance Municipal Bond Fund II","12.32","123364853.92","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eiv",
"EMJ","Eaton Vance New Jersey Municipal Bond Fund","13.3","34698503","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/emj",
"EVJ","Eaton Vance New Jersey Municipal Income Trust","12.5804","58865679.3032","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/evj",
"ENX","Eaton Vance New York Municipal Bond Fund","12.49","195862996.65","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/enx",
"NYH","Eaton Vance New York Municipal Bond Fund II","12.29","31547704.89","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/nyh",
"EVY","Eaton Vance New York Municipal Income Trust","14.13","77356606.68","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/evy",
"EIO","Eaton Vance Ohio Municipal Bond Fund","12.67","32143777.33","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eio",
"EVO","Eaton Vance Ohio Municipal Income Trust","13.7501","39286194.4657","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/evo",
"EIP","Eaton Vance Pennsylvania Municipal Bond Fund","13.525","40030740.475","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/eip",
"EVP","Eaton Vance Pennsylvania Municipal Income Trust","12.2501","33325343.5414","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/evp",
"ELMD","Electromed, Inc.","1.26","10223957.52","n/a","2011","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus","http://www.nasdaq.com/symbol/elmd",
"ETAK","Elephant Talk Communications Corp.","0.92","134960356.8","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/etak",
"ELLO","Ellomay Capital Ltd.","10.01","107030633.71","n/a","n/a","Public Utilities","Electric Utilities: Central","http://www.nasdaq.com/symbol/ello",
"ECF","Ellsworth Convertible Growth and Income Fund, Inc.","8.6991","116715807.3018","n/a","1986","n/a","n/a","http://www.nasdaq.com/symbol/ecf",
"EMAN","eMagin Corporation","2.39","57335865.78","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/eman",
"EOX","Emerald Oil, Inc.","6.84","453424974.84","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/eox",
"MSN","Emerson Radio Corporation","1.75","47477206","n/a","n/a","Consumer Non-Durables","Consumer Electronics/Appliances","http://www.nasdaq.com/symbol/msn",
"UUUU","Energy Fuels Inc","7.6","149594379.6","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/uuuu",
"ENSV","ENSERVCO Corporation","2.97","108559734.03","n/a","n/a","Energy","Oilfield Services/Equipment","http://www.nasdaq.com/symbol/ensv",
"EGI","Entree Gold Inc","0.3378","49651325.253","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/egi",
"EVI","EnviroStarm, Inc.","2.58","18147028.56","n/a","n/a","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/evi",
"ERB","ERBA Diagnostics, Inc.","1.7","74601475.7","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/erb",
"ESP","Espey Mfg. & Electronics Corp.","24.5","57775287.5","n/a","n/a","Capital Goods","Industrial Machinery/Components","http://www.nasdaq.com/symbol/esp",
"EMXX","Eurasian Minerals Inc.","0.79","57791035.11","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/emxx",
"EVBN","Evans Bancorp, Inc.","23.2","96758407.2","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/evbn",
"EVK","Ever-Glory International Group, Inc.","5.172","76448578.452","n/a","n/a","Consumer Non-Durables","Apparel","http://www.nasdaq.com/symbol/evk",
"EPM","Evolution Petroleum Corporation, Inc.","11.29","368293754.44","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/epm",
"EPM^A","Evolution Petroleum Corporation, Inc.","25.7799","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/epm^a",
"XRA","Exeter Resource Corporation","0.65","57465039.45","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/xra",
"FU","FAB Universal Corp.","3.07","63873990.2","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/fu",
"FPI","Farmland Partners Inc.","13.34","53550535.22","n/a","2014","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fpi",
"FCSC","Fibrocell Science Inc","3.85","157298737.75","n/a","n/a","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/fcsc",
"FPP","FieldPoint Petroleum Corporation","5.71","46090554.71","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/fpp",
"FPP/WS","FieldPoint Petroleum Corporation","1.55","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/fpp/ws",
"MXN","First American Minnesota Municipal Income Fund II, Inc.","15.16","22323190.96","n/a","2002","n/a","n/a","http://www.nasdaq.com/symbol/mxn",
"FEN","First Trust Energy Income and Growth Fund","35.4","685174575.6","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/fen",
"FWV","First West Virginia Bancorp, Inc.","18.15","31376449.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/fwv",
"BDL","Flanigan&#39;s Enterprises, Inc.","14.95","27786772.65","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/bdl",
"FSI","Flexible Solutions International Inc.","0.84","11062792.44","n/a","n/a","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/fsi",
"FSP","Franklin Street Properties Corp.","12.45","1247333192.25","n/a","n/a","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/fsp",
"FTF","Franklin Templeton Limited Duration Income Trust","13.21","354498936.5","n/a","2003","n/a","n/a","http://www.nasdaq.com/symbol/ftf",
"FRD","Friedman Industries Inc.","8.26","56163407.44","n/a","n/a","Capital Goods","Steel/Iron Ore","http://www.nasdaq.com/symbol/frd",
"FRS","Frisch&#39;s Restaurants, Inc.","23.22","118399058.64","n/a","n/a","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frs",
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","10.51","1118583714.2","n/a","2005","n/a","n/a","http://www.nasdaq.com/symbol/ggn",
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","21.84","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ggn^b",
"EGAS","Gas Natural Inc.","10.38","108860364.18","n/a","n/a","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas",
"GST","Gastar Exploration Inc.","7.23","446946533.13","n/a","n/a","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst",
"GST^A","Gastar Exploration Inc.","25.2901","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^a",
"GST^B","Gastar Exploration Inc.","28","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/gst^b",
"JOB","General Employment Enterprises, Inc.","0.17","4402944.75","n/a","n/a","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/job",
"GMO","General Moly, Inc","1.07","97309275.36","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gmo",
"GIG","GigOptix, Inc.","1.5","48268348.5","n/a","n/a","Technology","Semiconductors","http://www.nasdaq.com/symbol/gig",
"GSB","GlobalSCAPE, Inc.","2.3","45541419.1","n/a","n/a","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb",
"GSAT","Globalstar, Inc.","4.21","3678874546.35","n/a","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gsat",
"GLOW","Glowpoint, Inc.","1.55","55014150","n/a","n/a","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/glow",
"GORO","Gold Resource Corporation","4.55","246516128.95","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/goro",
"GSV","Gold Standard Ventures Corporation","0.68","71535435.6","n/a","n/a","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/gsv",
"AUMN","Golden Minerals Company","0.67","29165658.11","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn",
"GSS","Golden Star Resources, Ltd","0.59","153031178.61","n/a","n/a","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gss",
"GV","Goldfield Corporation (The)","1.75","44539869.5","n/a","n/a","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/gv",
"GRC","Gorman-Rupp Company (The)","33.66","883677427.38","n/a","n/a","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc",
